Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_6,13,63,2.7608,71.3779,0.9778,0.0,0.0469
Bei23,375AC,F,Day,072924A,2,Bei23_375AC_F_Day_072924A_all,14,64,2.781,66.6218,0.9942,0.0,0.0238
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_1,0,50,1.6452,71.8316,0.9753,0.0,0.0296
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_2,9,59,2.3258,64.6404,0.9765,0.0,0.0407
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_3,0,50,2.8152,77.1303,0.9602,0.0,0.065
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_4,66,116,2.9331,18.7804,0.9812,0.0,0.0458
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_5,31,81,2.3465,92.1892,0.966,0.0,0.0499
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_6,76,126,2.4237,60.4545,0.9663,0.0,0.0512
Bei23,375AC,F,Day,072924A,3,Bei23_375AC_F_Day_072924A_all,0,50,2.0363,79.45,0.9926,0.0,0.0198
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_1,12,62,3.1541,48.468,0.9706,0.0,0.0621
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_2,14,64,2.5277,72.2919,0.9767,0.0,0.0441
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_3,22,72,3.5561,65.8442,0.9471,0.0,0.0956
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_4,33,83,2.7841,52.8316,0.9842,0.0,0.0398
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_5,90,140,2.3746,43.8447,0.9132,0.0,0.0841
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_6,26,76,1.9678,101.1523,0.9755,0.0,0.0352
Bei23,375AC,M,Day,072924A,1,Bei23_375AC_M_Day_072924A_all,33,83,2.3092,78.4772,0.991,0.0,0.0247
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_1,51,101,3.4945,0.1503,0.9455,0.0,0.0955
