Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__2,12,62,3.9202,44.6903,0.9959,0,0.0281,R,A,2
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__3,28,78,2.929,66.3089,0.9915,0,0.0304,R,A,3
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__4,0,50,2.1557,56.8351,0.9764,0,0.0378,R,A,4
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__5,18,68,3.0632,74.7882,0.9687,0,0.0623,R,A,5
Bei54,375,M,070423R,2,Bei54_375A_M_070423R__6,42,92,3.3755,73.0085,0.9837,0,0.0489,R,A,6
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__1,24,74,3.7433,41.8797,0.9943,0,0.0317,R,B,1
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__2,1,51,3.6875,74.3349,0.9697,0,0.0737,R,B,2
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__3,30,80,3.404,36.3671,0.9807,0,0.0539,R,B,3
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__4,37,87,3.7103,37.7839,0.9871,0,0.0478,R,B,4
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__5,5,55,5.1968,52.1898,0.9908,0,0.0563,R,B,5
Bei54,375,M,070423R,2,Bei54_375B_M_070423R__6,29,79,3.8966,45.3797,0.9713,0,0.0757,R,B,6
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__1,24,74,3.2976,44.4622,0.9802,0,0.0529,R,A,1
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__2,5,55,2.603,52.5376,0.9842,0,0.0372,R,A,2
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__3,58,108,4.0007,8.296,0.9948,0,0.0326,R,A,3
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__4,53,103,3.8767,37.4297,0.985,0,0.0539,R,A,4
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__5,44,94,3.4837,58.0605,0.9733,0,0.0653,R,A,5
Bei54,375,M,070423R,3,Bei54_375A_M_070423R__6,43,93,3.0013,34.9701,0.9856,0,0.0409,R,A,6
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__1,0,50,2.9455,64.6156,0.9741,0,0.0542,R,B,1
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__2,9,59,3.1273,72.6516,0.982,0,0.0477,R,B,2
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__3,68,118,3.1351,57.1786,0.961,0,0.0716,R,B,3
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__4,8,58,3.1505,43.4935,0.9875,0,0.04,R,B,4
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__5,3,53,3.9382,75.803,0.962,0,0.0888,R,B,5
Bei54,375,M,070423R,4,Bei54_375B_M_070423R__6,5,55,4.7488,60.2436,0.9967,0,0.0308,R,B,6
Bei54,375,M,70323,1,Bei54_375A_M_070323__1,4,54,5.063,48.9692,0.9794,0,0.0828,C,A,1
Bei54,375,M,70323,1,Bei54_375A_M_070323__2,21,71,1.818,46.0123,0.9584,0,0.043,C,A,2
Bei54,375,M,70323,1,Bei54_375A_M_070323__3,12,62,2.7479,62.7447,0.9822,0,0.0418,C,A,3
Bei54,375,M,70323,1,Bei54_375A_M_070323__4,40,90,3.8763,35.0916,0.995,0,0.031,C,A,4
Bei54,375,M,70323,1,Bei54_375A_M_070323__5,1,51,2.7275,85.9668,0.9845,0,0.0385,C,A,5
Bei54,375,M,70323,1,Bei54_375A_M_070323__6,34,84,4.0783,46.1459,0.9748,0,0.074,C,A,6
Bei54,375,M,70323,1,Bei54_375B_M_070323__1,39,89,3.3151,46.1207,0.9917,0,0.034,C,B,1
Bei54,375,M,70323,1,Bei54_375B_M_070323__2,21,71,3.7087,77.7632,0.9572,0,0.089,C,B,2
Bei54,375,M,70323,1,Bei54_375B_M_070323__3,85,135,2.6361,56.6216,0.9406,0,0.0755,C,B,3
Bei54,375,M,70323,1,Bei54_375B_M_070323__4,34,84,3.4956,34.7178,0.9902,0,0.0392,C,B,4
Bei54,375,M,70323,1,Bei54_375B_M_070323__5,1,51,4.3056,75.6482,0.9922,0,0.0429,C,B,5
Bei54,375,M,70323,1,Bei54_375B_M_070323__6,3,53,4.2592,88.0704,0.9676,0,0.0882,C,B,6
Bei54,375,M,70323,2,Bei54_375A_M_070323__1,0,50,2.507,87.3384,0.9692,0,0.0505,C,A,1
Bei54,375,M,70323,2,Bei54_375A_M_070323__2,38,88,2.9115,7.4413,0.9717,0,0.0561,C,A,2
Bei54,375,M,70323,2,Bei54_375A_M_070323__3,23,73,3.767,38.7679,0.9931,0,0.0354,C,A,3
Bei54,375,M,70323,2,Bei54_375A_M_070323__4,5,55,2.0502,55.5154,0.9749,0,0.0372,C,A,4
