Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__1,51,101,2.0878,57.6893,0.9802,0.0,0.0335
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__2,46,96,2.072,36.8847,0.9637,0.0,0.0455
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__3,21,71,2.4995,55.5883,0.9818,0.0,0.0384
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__4,21,71,2.3395,72.8679,0.9697,0.0,0.0468
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__5,14,64,1.7816,66.8913,0.973,0.0,0.0335
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__6,61,111,3.0515,39.5843,0.9709,0.0,0.0598
Bei23,375BC,F,073024B,3,Bei23_375BC_F_073024B__all,45,95,2.4633,51.1398,0.9956,0.0,0.0185
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__1,10,60,2.1053,70.6015,0.9704,0.0,0.0415
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__2,29,79,2.4806,47.0464,0.983,0.0,0.0367
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__3,8,58,2.9912,59.9629,0.9815,0.0,0.0463
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__4,92,142,3.8758,-23.2812,0.9705,0.0,0.0764
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__5,0,50,2.4707,61.6751,0.9858,0.0,0.0334
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__6,4,54,2.5247,39.2195,0.9882,0.0,0.0311
Bei23,375BC,M,073024B,1,Bei23_375BC_M_073024B__all,12,62,2.4907,56.9129,0.9957,0.0,0.0184
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__1,2,52,2.2892,62.4009,0.9771,0.0,0.0396
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__2,18,68,2.275,46.7788,0.9906,0.0,0.0249
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__3,2,52,2.6752,71.0026,0.9704,0.0,0.0528
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__4,68,118,3.8666,-14.2477,0.9765,0.0,0.0677
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__5,22,72,2.0547,43.8187,0.9757,0.0,0.0366
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__6,0,50,3.1347,44.5406,0.9774,0.0,0.0538
Bei23,375BC,M,073024B,2,Bei23_375BC_M_073024B__all,37,87,1.9118,68.2337,0.9937,0.0,0.0171
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__1,92,142,1.9228,74.4714,0.9425,0.0,0.0541
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__2,0,50,1.6286,90.9269,0.9662,0.0,0.0345
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__3,20,70,1.8765,74.0537,0.9785,0.0,0.0314
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__4,36,86,3.4429,38.6735,0.9881,0.0,0.0425
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__5,63,113,4.1927,-21.1408,0.9829,0.0,0.0623
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__6,31,81,3.2582,56.8163,0.9686,0.0,0.0664
Bei23,375BC,M,073024B,3,Bei23_375BC_M_073024B__all,65,115,2.2941,69.4379,0.9946,0.0,0.0191
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__1,44,94,2.0603,16.0052,0.9485,0.0,0.0546
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__2,20,70,1.9948,42.1505,0.9567,0.0,0.0482
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__3,21,71,2.2511,57.4829,0.946,0.0,0.0612
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__4,0,50,2.084,34.4266,0.9817,0.0,0.032
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__5,92,142,1.9759,42.11,0.9607,0.0,0.0453
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__6,1,51,0.8041,36.9171,0.9076,0.0,0.0295
Bei23,375BR,F,073024B,1,Bei23_375BR_F_073024B__all,0,50,1.4677,49.8587,0.9898,0.0,0.0167
