Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc
15B,1,Control,4,10.9252873563218,B,87,ZH42_375,ZH42,375
15B,3,Control,4,10.8552631578947,B,76,ZH42_375,ZH42,375
15B,5,Control,4,10.7058823529412,B,68,ZH42_375,ZH42,375
27A,1,Control,4,10.9180327868852,A,122,Bei05_Ore,Bei05,Ore
27A,3,Control,4,11.0326086956522,A,92,Bei05_Ore,Bei05,Ore
27A,5,Control,4,11.0148514851485,A,101,Bei05_Ore,Bei05,Ore
27B,1,Control,4,10.4405940594059,B,101,Bei05_Ore,Bei05,Ore
27B,3,Control,4,11.4622641509434,B,106,Bei05_Ore,Bei05,Ore
27B,5,Control,4,11.1621621621622,B,74,Bei05_Ore,Bei05,Ore
37A,1,Control,4,11.4818181818182,A,55,Bei05_375,Bei05,375
37A,3,Control,4,11.1065573770492,A,61,Bei05_375,Bei05,375
37A,5,Control,4,11.6095890410959,A,73,Bei05_375,Bei05,375
37B,1,Control,4,10.6016949152542,B,59,Bei05_375,Bei05,375
37B,3,Control,4,10.7291666666667,B,48,Bei05_375,Bei05,375
37B,5,Control,4,11.3181818181818,B,33,Bei05_375,Bei05,375
41A,1,Control,4,10.7769230769231,A,65,siI_Ore,siI,Ore
41A,3,Control,4,11.6063829787234,A,47,siI_Ore,siI,Ore
41A,5,Control,4,10.6086956521739,A,92,siI_Ore,siI,Ore
42A,1,Control,4,11.7894736842105,A,38,yak_Ore,yak,Ore
42A,3,Control,4,12,A,46,yak_Ore,yak,Ore
42A,5,Control,4,10.9473684210526,A,76,yak_Ore,yak,Ore
45A,1,Control,4,11.219298245614,A,57,siI_375,siI,375
45A,3,Control,4,11.3076923076923,A,52,siI_375,siI,375
45A,5,Control,4,11.0272727272727,A,55,siI_375,siI,375
46A,1,Control,4,11.1266666666667,A,75,yak_375,yak,375
46A,3,Control,4,11.3219178082192,A,73,yak_375,yak,375
46A,5,Control,4,11.458904109589,A,73,yak_375,yak,375
Ore,1,Control,4,10.343137254902,parental,51,Ore_Ore,Ore,Ore
Ore,3,Control,4,9.88461538461539,parental,13,Ore_Ore,Ore,Ore
Ore,5,Control,4,10.0714285714286,parental,42,Ore_Ore,Ore,Ore
375,1,Control,4,10.66,parental,50,375_375,375,375
375,3,Control,4,10.8333333333333,parental,3,375_375,375,375
375,5,Control,4,11.0740740740741,parental,54,375_375,375,375
5B,1,Control,4,10.9375,B,32,ZW09_Ore,ZW09,Ore
