"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0346333325891102
"F","375","Control",0.0321989085285896
"F","375","Control",0.0363149143277022
"F","375","Control",0.02684798937811
"F","375","Control",0.0350490699623264
"F","375","Control",0.0281095623618062
"F","375","Control",0.0341089507599503
"F","375","Control",0.0430797532406697
"F","375","Control",0.0336505382737199
"F","375","Control",0.0356274679065086
"F","375","Control",0.0305334260343921
"F","375","Control",0.0306564143279949
"F","375","Control",0.0380790895537213
"F","375","Control",0.0403768433154267
"F","375","Control",0.0354168889682261
"F","375","Control",0.0373884156837317
"F","375","Control",0.034549774012574
"F","375","Control",0.0334271002471541
"F","375","Control",0.0297037196328264
"F","375","Control",0.0381905610320669
"F","375","Control",0.0377853773979448
"F","375","Control",0.0304613971647477
"F","375","Control",0.0379170220024724
"F","375","Control",0.0360585252169683
"F","375","Control",0.0342006917046995
"F","375","Control",0.0303924907166884
"F","375","Control",0.0347725841334709
"F","375","Control",0.0324287531777913
"F","375","Control",0.0388439151914418
"F","375","Control",0.0297244522982506
"F","375","Control",0.0324683014637518
"F","375","Control",0.0377943269578586
"F","375","Control",0.0362000974343332
"F","375","Control",0.0410261302644966
"F","375","Control",0.0334104604695176
"F","375","Control",0.031081897361494
"F","375","Control",0.0391871326954138
"F","375","Control",0.0320097826116403
"F","375","Control",0.0411595542401765
"F","375","Control",0.0440921473366343
"F","375","Control",0.0338375208410134
"F","375","Control",0.0306557207611678
"F","375","Control",0.0350232681773896
"F","375","Control",0.0397445357164662
"F","375","Control",0.0317839540174224
"F","375","Control",0.0375388453326621
"F","375","Control",0.0357329907284309
"F","375","Control",0.0336332529065585
"F","375","Control",0.0347095627823163
"F","375","Control",0.0385762834832072
"F","375","Control",0.036191574099268
"F","375","Control",0.0389984605782089
"F","375","Control",0.0332691418413299
"F","375","Control",0.0305791382172455
"F","375","Control",0.0335476483812249
"F","375","Control",0.0315665538886879
"F","375","Control",0.0344048032286127
"F","375","Control",0.0307430441529018
"F","375","Control",0.0357943226953185
"F","375","Control",0.031813996454846
"F","375","Control",0.0309736720077593
"F","375","Control",0.035439076275451
"F","375","Control",0.0356550508685818
"F","375","Control",0.0362203397684416
"F","375","Control",0.0312954307160979
"F","375","Control",0.0378560084729063
"F","375","Control",0.031604825944076
"F","375","Control",0.028373965233681
"F","375","Control",0.0346718333018842
"F","375","Control",0.0357708827800423
"F","375","Control",0.0316662576334986
"F","375","Control",0.027382538511546
"F","375","Control",0.0309331229287879
"F","375","Control",0.0365109915414097
"F","375","Control",0.0373429814587449
"F","375","Control",0.035470317674027
"F","375","Control",0.0409883549866016
"F","375","Control",0.0334967957546037
"F","375","Control",0.0359207602880502
"F","375","Control",0.0391317387943211
"F","375","Control",0.0316564026359927
"F","375","Control",0.0275958546423909
"F","375","Control",0.0340874612160968
"F","375","Control",0.0332207165376116
"F","375","Control",0.0376603910317811
"F","375","Control",0.0336672703207287
"F","375","Control",0.0417991786441841
"F","375","Control",0.0380383019589546
"F","375","Control",0.0401456665845708
"F","375","Control",0.0334748021082034
"F","375","Control",0.0339055465669332
"F","375","Control",0.0363117101996245
"F","375","Control",0.0392466260902394
"F","375","Control",0.0363727936378578
"F","375","Control",0.0385195465381016
"F","375","Control",0.0330723873988266
"F","375","Control",0.0392958211722829
"F","375","Control",0.0392411858987942
"F","375","Control",0.0337962196361547
"F","375","Control",0.0321403584167444
"F","375","Control",0.0336844921117958
"F","375","Control",0.0366217246712541
"F","375","Control",0.0385690234272558
"F","375","Control",0.0340307594770087
"F","375","Control",0.0243907383414505
"F","375","Control",0.035451119732404
"F","375","Control",0.0325450346881254
"F","375","Control",0.0392998733003212
"F","375","Control",0.0328244452482661
"F","375","Control",0.0358373842245096
"F","375","Control",0.0324054380407981
"F","375","Control",0.035920221416576
"F","375","Control",0.0326747515526206
"F","375","Control",0.0405662605310664
"F","375","Control",0.0296115985666543
"F","375","Control",0.040128971439366
"F","375","Control",0.0434614291398727
"F","375","Control",0.0335943817173924
"F","375","Control",0.0392480727908809
"F","375","Control",0.0302382674898292
"F","375","Control",0.0335623011558598
"F","375","Control",0.0365270350039996
"F","375","Control",0.0336062902106892
"F","375","Control",0.0311473038927416
"F","375","Control",0.0360408347966612
"F","375","Control",0.0316159024040512
"F","375","Control",0.0319492466633984
"F","375","Control",0.0390344780708015
"F","375","Control",0.0268466403644651
"F","375","Control",0.0305504120542024
"F","375","Control",0.0411905433929403
"F","375","Control",0.0329905080880245
"F","375","Control",0.0307731386192275
"F","375","Control",0.0432765573313506
"F","375","Control",0.0367821367401684
"F","375","Control",0.0320053255243236
"F","375","Control",0.0407401875867236
"F","375","Control",0.0329441900561318
"F","375","Control",0.0314544515667255
"F","375","Control",0.0329654515169617
"F","375","Control",0.0381694771384003
"F","375","Control",0.0368323426824325
"F","375","Control",0.0355526430408228
"F","375","Control",0.0360319188718104
"F","375","Control",0.0325512727906461
"F","375","Control",0.0346761207440497
"F","375","Control",0.0260379936665349
"F","375","Control",0.0376816402976997
"F","375","Control",0.0331231838030651
"F","375","Control",0.037984705566261
"F","375","Control",0.032829438053191
"F","375","Control",0.0406524750414199
"F","375","Control",0.0311850720707008
"F","375","Control",0.0323920517831416
"F","375","Control",0.0322782576386488
"F","375","Control",0.0348855871418245
"F","375","Control",0.03430370085484
"F","375","Control",0.0339071538338273
"F","375","Control",0.0350734725298802
"F","375","Control",0.0338644808309957
"F","375","Control",0.0312590614507331
"F","375","Control",0.0305185648882752
"F","375","Control",0.0275555443555194
