Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
46B,1.038146,4,1.040722,M,Rotenone,3,yak_375,yak,375,0.000643999999999978,B,-0.513610303933319,0.000820384213025441,0.000751470968198374,0.000575086755172911
46B,1.046768,18,1.066008,F,Rotenone,3,yak_375,yak,375,0.0010688888888889,B,-0.53100856630133,0.00125542095073542,0.00116980665562678,0.000983274593780258
46B,1.006722,17,1.019452,M,Rotenone,9,yak_375,yak,375,0.000748823529411772,B,-0.0776803096328313,0.000812438967070082,0.000751470968198374,0.000687855530540064
46B,0.966936,20,0.980496,M,Control,1,yak_375,yak,375,0.000678000000000001,B,-0.372214379856,0.000704426334064328,0.000743674151688568,0.000717247817624241
46B,1.011828,20,1.027874,M,Rotenone,1,yak_375,yak,375,0.0008023,B,0.144712483755725,0.00072456341305753,0.000751470968198374,0.000829207555140844
46B,0.959028,19,0.972572,M,Control,9,yak_375,yak,375,0.000712842105263158,B,-0.227316389547766,0.000853247961816306,0.000743674151688568,0.00060326829513542
46B,1.03276,10,1.044374,F,Control,3,yak_375,yak,375,0.0011614,B,-0.0856998358283406,0.00127812768317853,0.00118354565556564,0.00106681797238711
46B,1.007262,20,1.021752,M,Control,3,yak_375,yak,375,0.000724499999999995,B,-0.178834660162176,0.000798993217893219,0.000743674151688568,0.000669180933795344
46B,0.997976,21,1.022864,F,Control,9,yak_375,yak,375,0.00118514285714286,B,0.0285880745113291,0.001235392995893,0.00118354565556564,0.0011332955168155
46B,1.0024,20,1.017626,M,Rotenone,9,yak_375,yak,375,0.000761299999999998,B,-0.0257943658668167,0.000812438967070082,0.000751470968198374,0.00070033200112829
46B,0.998892,20,1.020472,F,Control,1,yak_375,yak,375,0.001079,B,-0.482338022855495,0.00109010060601164,0.00118354565556564,0.001172445049554
46B,1.01474,19,1.036822,F,Rotenone,9,yak_375,yak,375,0.00116221052631579,B,-0.0817983104832822,0.00131216049519223,0.00116980665562678,0.00101985668675034
46B,0.999146,16,1.016574,F,Control,1,yak_375,yak,375,0.00108925000000001,B,-0.432998927988599,0.00109010060601164,0.00118354565556564,0.00118269504955401
46B,1.021252,17,1.037664,F,Rotenone,1,yak_375,yak,375,0.000965411764705875,B,-1.02910297084913,0.00104212393115141,0.00116980665562678,0.00109309448918125
46B,0.999764,20,1.022266,F,Control,9,yak_375,yak,375,0.0011251,B,-0.260432435210449,0.001235392995893,0.00118354565556564,0.00107325265967264
46B,1.049802,17,1.067626,F,Rotenone,3,yak_375,yak,375,0.0010484705882353,B,-0.629293490493312,0.00125542095073542,0.00116980665562678,0.000962856293126658
46B,1.041376,11,1.055044,F,Control,3,yak_375,yak,375,0.00124254545454546,B,0.304899508545515,0.00127812768317853,0.00118354565556564,0.00114796342693257
46B,0.993508,20,1.015184,F,Control,9,yak_375,yak,375,0.00108380000000001,B,-0.459232885747069,0.001235392995893,0.00118354565556564,0.00103195265967265
46B,1.029924,18,1.046016,F,Rotenone,2,yak_375,yak,375,0.000894,B,-1.37284851557423,0.00109585833333333,0.00116980665562678,0.000967948322293448
46B,0.963654,19,0.977582,M,Control,2,yak_375,yak,375,0.000733052631578944,B,-0.143266800003425,0.000819221475256768,0.000743674151688568,0.000657505308010744
46B,1.027712,23,1.054344,F,Rotenone,9,yak_375,yak,375,0.00115791304347826,B,-0.102484545937872,0.00131216049519223,0.00116980665562678,0.00101555920391281
46B,1.005682,10,1.019912,M,Rotenone,2,yak_375,yak,375,0.001423,B,2.72601983889491,0.000718139411027571,0.000751470968198374,0.0014563315571708
46B,0.999308,14,1.014008,F,Control,2,yak_375,yak,375,0.00105,B,-0.621931559551946,0.00124479621146398,0.00118354565556564,0.00098874944410166
46B,1.011524,21,1.035032,M,Rotenone,1,yak_375,yak,375,0.00111942857142856,B,1.46355623106251,0.00072456341305753,0.000751470968198374,0.0011463361265694
